Sample	Unique Reads	Duplicate Reads
137.trim	3426574.0	2822259.0
139.trim	1473390.0	763765.0
140.trim	3085111.0	2612882.0
141.trim	1297080.0	677507.0
156.trim	2285742.0	2835226.0
159.trim	3944100.0	5081175.0
161.trim	3768672.0	2994895.0
162.trim	3261062.0	2788103.0
168.trim	1661205.0	1324808.0
169.trim	5020808.0	5552305.0
171.trim	3968392.0	4040046.0
172.trim	2851313.0	1958091.0
181.trim	1278897.0	1409152.0
183.trim	5209406.0	4091417.0
184.trim	1995718.0	1265238.0
185.trim	1193892.0	903757.0
291.trim	4109001.0	2841102.0
292.trim	3137608.0	1607726.0
293.trim	3147836.0	1773248.0
294.trim	4066103.0	3069871.0
295.trim	5788842.0	3535991.0
296.trim	7154274.0	4406332.0
298.trim	4222235.0	2101769.0
299.trim	5922258.0	3191206.0
301.trim	4476801.0	2605047.0
302.trim	6706255.0	3128737.0
303.trim	4907697.0	2676164.0
304.trim	5474034.0	2815790.0
305.trim	3695331.0	2260937.0
306.trim	4293898.0	3336285.0
307.trim	4142270.0	3153952.0
308.trim	4251026.0	3763505.0
309.trim	5310583.0	3065696.0
311.trim	4408357.0	2461723.0
312.trim	4284232.0	2614772.0
313.trim	4074311.0	2737573.0
314.trim	2453932.0	2823873.0
315.trim	5425919.0	3086761.0
316.trim	5981427.0	3517119.0
317.trim	3823283.0	1809136.0
318.trim	3853971.0	2320914.0
319.trim	3352905.0	4427448.0
321.trim	4117647.0	1909670.0
322.trim	4447940.0	2853754.0
323.trim	6295561.0	3249719.0
324.trim	4848447.0	3473442.0
325.trim	5167855.0	2422545.0
326.trim	5310235.0	3601141.0
327.trim	3656664.0	2120746.0
328.trim	8241839.0	3750051.0
329.trim	4765382.0	3581482.0
331.trim	2745308.0	3745886.0
332.trim	2865155.0	2536301.0
333.trim	3315124.0	1863674.0
334.trim	2587296.0	3116768.0
335.trim	3290828.0	1826607.0
336.trim	3551511.0	4063791.0
337.trim	5839824.0	4621103.0
338.trim	3790787.0	2518714.0
339.trim	4060716.0	3092251.0
34.trim	1627549.0	5110323.0
341.trim	3501580.0	1949507.0
342.trim	5030645.0	3465672.0
343.trim	5229752.0	2170584.0
344.trim	5083989.0	4945731.0
345.trim	3918366.0	1542007.0
346.trim	3832679.0	1843277.0
347.trim	3841827.0	2666879.0
348.trim	4133791.0	2969201.0
349.trim	3696863.0	1821608.0
35.trim	427764.0	1734358.0
37.trim	1117320.0	6303179.0
39.trim	3144920.0	2655434.0
401.trim	1416816.0	2673905.0
402.trim	3067680.0	2602177.0
403.trim	4128301.0	2505515.0
404.trim	3185179.0	3716753.0
41.trim	2237609.0	5934062.0
411.trim	3333862.0	3180793.0
412.trim	1085531.0	5615159.0
413.trim	3267354.0	3073038.0
414.trim	2860435.0	1999596.0
421.trim	4449649.0	2974676.0
43.trim	3979935.0	3135272.0
431b.trim	2845986.0	3380384.0
432.trim	397087.0	5486260.0
434.trim	3059342.0	3911057.0
44.trim	314542.0	676307.0
441.trim	570343.0	7501922.0
442b.trim	2010803.0	3015190.0
443.trim	2811078.0	3235317.0
444.trim	3599208.0	4347626.0
445.trim	3944366.0	2574625.0
45.trim	2153290.0	4841504.0
451.trim	4680926.0	4144971.0
452b.trim	2657381.0	2780502.0
453.trim	3150570.0	2059015.0
46.trim	1787873.0	5593576.0
461b.trim	2453500.0	2083877.0
462b.trim	3986667.0	5656627.0
47.trim	2708961.0	2654666.0
471b.trim	3369829.0	2879935.0
472b.trim	3260342.0	2814571.0
473.trim	3543378.0	3006353.0
474.trim	4250215.0	4152299.0
475.trim	3808239.0	3459475.0
476.trim	2401584.0	2268534.0
477.trim	3629441.0	2825266.0
481.trim	3574014.0	3617125.0
482.trim	2584096.0	2771965.0
483.trim	2557574.0	3124043.0
484.trim	2746031.0	2354234.0
485.trim	4060565.0	2965163.0
487.trim	3553811.0	3617415.0
488.trim	3360718.0	3505250.0
489.trim	4247931.0	3012024.0
490.trim	3463152.0	2327377.0
491.trim	2941206.0	3476787.0
492.trim	3619520.0	4177778.0
506.trim	2247373.0	3495182.0
513.trim	3727181.0	2531634.0
521.trim	2980559.0	8477973.0
522.trim	2533208.0	3227326.0
523.trim	2857580.0	4058225.0
524.trim	3127761.0	2967804.0
525.trim	3420275.0	1916060.0
526.trim	3091237.0	2139557.0
527.trim	3874988.0	3951901.0
528.trim	4799059.0	3824369.0
529.trim	2884637.0	3979020.0
531.trim	2987290.0	1958613.0
532.trim	2659473.0	2405789.0
533.trim	2596694.0	2607377.0
541.trim	3123391.0	3895470.0
542.trim	2158692.0	4023000.0
543.trim	2391219.0	1532629.0
551.trim	3949121.0	3513339.0
552b.trim	2139163.0	2100666.0
553.trim	3053510.0	1774145.0
554.trim	4734229.0	3259323.0
561.trim	868576.0	5474721.0
562.trim	3410640.0	11573907.0
563.trim	2910187.0	5339921.0
564.trim	2704681.0	1773525.0
565.trim	1282669.0	4176538.0
571.trim	129339.0	601018.0
Undetermined.trim	3781885.0	9507257.0
